symbol,sector,history_years,median_turnover_inr,missing_frac,last_price
NHPC.NS,Power,11.001,994962810.5901184,0.0,77.93501281738281
NMDC.NS,Metals & Mining,11.001,1336138908.3112907,0.0,81.19186401367188
NTPC.NS,Power,11.001,3112860975.5472717,0.0,333.780029296875
NYKAA.NS,Consumer Services,4.142,1100935024.2915497,0.0,265.75
OBEROIRLTY.NS,Realty,11.001,861514802.7293701,0.0,1689.6888427734375
OFSS.NS,Information Technology,11.001,1083134353.25,0.0,7473.396484375
OIL.NS,Oil Gas & Consumable Fuels,11.001,921215038.6076508,0.0,421.1095886230469
ONGC.NS,Oil Gas & Consumable Fuels,11.001,2162507209.3405304,0.0,232.4696044921875
PAGEIND.NS,Textiles,11.001,913469745.0,0.0,35182.8984375
PATANJALI.NS,Fast Moving Consumer Goods,11.001,1036204197.2210999,0.0,546.8954467773438
PAYTM.NS,Financial Services,4.12,4141276470.332489,0.0,1291.699951171875
PERSISTENT.NS,Information Technology,11.001,2256899061.5,0.0,6238.376953125
PETRONET.NS,Oil Gas & Consumable Fuels,11.001,541703246.4616547,0.0,284.8143005371094
PFC.NS,Financial Services,11.001,2353736257.082306,0.0,353.4661865234375
PGEL.NS,Consumer Durables,11.001,1269536568.6853333,0.0,578.9500122070312
PHOENIXLTD.NS,Realty,11.001,859611564.8782349,0.0,1872.699951171875
PIDILITIND.NS,Chemicals,11.001,776168775.3272705,0.0,1458.7958984375
PIIND.NS,Chemicals,11.001,689705204.7471924,0.0,3202.324951171875
PNB.NS,Financial Services,11.001,1958971541.1729965,0.0,120.43788146972656
PNBHOUSING.NS,Financial Services,9.15,893793762.074707,0.0,978.9600830078125
POLICYBZR.NS,Financial Services,4.129,2231127646.2301025,0.0,1805.800048828125
POLYCAB.NS,Capital Goods,6.713,1750525201.665039,0.0,7636.76513671875
POWERGRID.NS,Power,11.001,3079299874.5747223,0.0,263.83807373046875
POWERINDIA.NS,Capital Goods,5.758,1655782173.0,0.0,18477.587890625
PRESTIGE.NS,Realty,11.001,994475115.1761475,0.0,1602.0831298828125
RADICO.NS,Fast Moving Consumer Goods,11.001,538082745.9106445,0.0,3246.6962890625
RBLBANK.NS,Financial Services,9.336,1588250089.0193176,0.0,314.48577880859375
RECLTD.NS,Financial Services,11.001,2524021787.80748,0.0,354.1167907714844
RELIANCE.NS,Oil Gas & Consumable Fuels,11.001,13900800136.756653,0.0,1568.3485107421875
RVNL.NS,Construction,6.727,1914318246.8592224,0.0,359.2486267089844
SAIL.NS,Metals & Mining,11.001,1614623831.8115501,0.0,148.4499969482422
